backend,task,score,status,grade_mode,correct
biomni,da-1-3,0.8700,ok,deepseek,True
biomni,da-1-4,0.8600,ok,deepseek,True
biomni,da-10-1,0.4800,ok,deepseek,False
biomni,da-10-3,1.0000,ok,deepseek,True
biomni,da-11-1,0.7300,ok,deepseek,True
biomni,da-12-2,0.4800,ok,deepseek,False
biomni,da-12-4,0.8600,ok,deepseek,True
biomni,da-13-1,1.0000,ok,deepseek,True
biomni,da-13-3,0.7800,ok,deepseek,True
biomni,da-13-5,0.4000,ok,deepseek,False
biomni,da-13-6,0.5000,ok,deepseek,False
biomni,da-14-1,1.0000,ok,deepseek,True
biomni,da-14-3,0.5900,ok,deepseek,False
biomni,da-14-8,0.5800,ok,deepseek,False
biomni,da-15-1,1.0000,ok,deepseek,True
biomni,da-15-2,0.5300,ok,deepseek,False
biomni,da-15-7,0.7000,ok,deepseek,True
biomni,da-15-8,0.5300,ok,deepseek,False
biomni,da-16-1,0.8000,ok,deepseek,True
biomni,da-17-1,0.8400,ok,deepseek,True
biomni,da-17-3,0.7300,ok,deepseek,True
biomni,da-17-5,0.9200,ok,deepseek,True
biomni,da-18-1,0.7200,ok,deepseek,True
biomni,da-18-5,0.5100,ok,deepseek,False
biomni,da-18-7,0.4900,ok,deepseek,False
biomni,da-19-1,0.7200,ok,deepseek,True
biomni,da-19-3,0.5200,ok,deepseek,False
biomni,da-19-4,0.3000,ok,deepseek,False
biomni,da-19-6,0.4900,ok,deepseek,False
biomni,da-20-1,0.1800,ok,deepseek,False
biomni,da-20-3,0.5200,ok,deepseek,False
biomni,da-20-4,0.2000,ok,deepseek,False
biomni,da-24-3,0.2000,ok,deepseek,False
biomni,da-25-1,0.7100,ok,deepseek,True
biomni,da-26-2,0.4300,ok,deepseek,False
biomni,da-26-4,0.5700,ok,deepseek,False
biomni,da-3-4,1.0000,ok,deepseek,True
biomni,da-3-5,0.9200,ok,deepseek,True
biomni,da-4-1,0.5200,ok,deepseek,False
biomni,da-4-6,0.4800,ok,deepseek,False
biomni,da-4-7,0.7400,ok,deepseek,True
biomni,da-5-1,0.6100,ok,deepseek,False
biomni,da-5-3,0.8200,ok,deepseek,True
biomni,da-6-2,0.2000,ok,deepseek,False
biomni,da-6-5,0.7400,ok,deepseek,True
biomni,da-8-1,1.0000,ok,deepseek,True
biomni,da-8-2,0.4700,ok,deepseek,False
biomni,da-8-3,0.4300,ok,deepseek,False
biomni,da-9-1,0.4900,ok,deepseek,False
biomni,da-9-7,0.5800,ok,deepseek,False
claude_csswitch,da-1-3,0.9200,ok,deepseek,True
claude_csswitch,da-1-4,0.8600,ok,deepseek,True
claude_csswitch,da-10-1,0.5800,ok,deepseek,False
claude_csswitch,da-10-3,1.0000,ok,deepseek,True
claude_csswitch,da-11-1,0.7900,ok,deepseek,True
claude_csswitch,da-12-2,0.6000,ok,deepseek,False
claude_csswitch,da-12-4,1.0000,ok,deepseek,True
claude_csswitch,da-13-1,0.9500,ok,deepseek,True
claude_csswitch,da-13-3,0.8700,ok,deepseek,True
claude_csswitch,da-13-5,0.9000,ok,deepseek,True
claude_csswitch,da-13-6,0.7000,ok,deepseek,True
claude_csswitch,da-14-1,1.0000,ok,deepseek,True
claude_csswitch,da-14-3,0.8500,ok,deepseek,True
claude_csswitch,da-14-8,0.4800,ok,deepseek,False
claude_csswitch,da-15-1,1.0000,ok,deepseek,True
claude_csswitch,da-15-2,0.4200,ok,deepseek,False
claude_csswitch,da-15-7,0.7700,ok,deepseek,True
claude_csswitch,da-15-8,0.8000,ok,deepseek,True
claude_csswitch,da-16-1,0.9000,ok,deepseek,True
claude_csswitch,da-17-1,0.7000,ok,deepseek,True
claude_csswitch,da-17-3,0.7300,ok,deepseek,True
claude_csswitch,da-17-5,0.8200,ok,deepseek,True
claude_csswitch,da-18-1,0.8200,ok,deepseek,True
claude_csswitch,da-18-5,0.5900,ok,deepseek,False
claude_csswitch,da-18-7,0.7500,ok,deepseek,True
claude_csswitch,da-19-1,0.7200,ok,deepseek,True
claude_csswitch,da-19-3,0.4700,ok,deepseek,False
claude_csswitch,da-19-4,0.4500,ok,deepseek,False
claude_csswitch,da-19-6,0.6200,ok,deepseek,False
claude_csswitch,da-20-1,0.3800,ok,deepseek,False
claude_csswitch,da-20-3,0.5600,ok,deepseek,False
claude_csswitch,da-20-4,0.2000,ok,deepseek,False
claude_csswitch,da-24-3,0.2500,ok,deepseek,False
claude_csswitch,da-25-1,0.3900,ok,deepseek,False
claude_csswitch,da-26-2,0.4300,ok,deepseek,False
claude_csswitch,da-26-4,0.4700,ok,deepseek,False
claude_csswitch,da-3-4,1.0000,ok,deepseek,True
claude_csswitch,da-3-5,0.5600,ok,deepseek,False
claude_csswitch,da-4-1,0.6800,ok,deepseek,False
claude_csswitch,da-4-6,0.3800,ok,deepseek,False
claude_csswitch,da-4-7,0.5800,ok,deepseek,False
claude_csswitch,da-5-1,0.6500,ok,deepseek,False
claude_csswitch,da-5-3,0.9500,ok,deepseek,True
claude_csswitch,da-6-2,0.2500,ok,deepseek,False
claude_csswitch,da-6-5,0.7000,ok,deepseek,True
claude_csswitch,da-8-1,0.9000,ok,deepseek,True
claude_csswitch,da-8-2,0.7200,ok,deepseek,True
claude_csswitch,da-8-3,0.6300,ok,deepseek,False
claude_csswitch,da-9-1,0.4900,ok,deepseek,False
claude_csswitch,da-9-7,0.6900,ok,deepseek,False
evoscientist,da-1-3,0.8400,ok,deepseek,True
evoscientist,da-1-4,0.8600,ok,deepseek,True
evoscientist,da-10-1,0.6000,ok,deepseek,False
evoscientist,da-10-3,0.8600,ok,deepseek,True
evoscientist,da-11-1,0.6800,ok,deepseek,False
evoscientist,da-12-2,0.6000,ok,deepseek,False
evoscientist,da-12-4,1.0000,ok,deepseek,True
evoscientist,da-13-1,1.0000,ok,deepseek,True
evoscientist,da-13-3,1.0000,ok,deepseek,True
evoscientist,da-13-5,0.4000,ok,deepseek,False
evoscientist,da-13-6,0.8000,ok,deepseek,True
evoscientist,da-14-1,0.8000,ok,deepseek,True
evoscientist,da-14-3,1.0000,ok,deepseek,True
evoscientist,da-14-8,0.5500,ok,deepseek,False
evoscientist,da-15-1,0.7700,ok,deepseek,True
evoscientist,da-15-2,0.3100,ok,deepseek,False
evoscientist,da-15-7,0.6700,ok,deepseek,False
evoscientist,da-15-8,0.7000,ok,deepseek,True
evoscientist,da-16-1,0.8500,ok,deepseek,True
evoscientist,da-17-1,0.7800,ok,deepseek,True
evoscientist,da-17-3,0.6500,ok,deepseek,False
evoscientist,da-17-5,0.9200,ok,deepseek,True
evoscientist,da-18-1,0.7200,ok,deepseek,True
evoscientist,da-18-5,0.2700,ok,deepseek,False
evoscientist,da-18-7,0.8000,ok,deepseek,True
evoscientist,da-19-1,0.7500,ok,deepseek,True
evoscientist,da-19-3,0.6000,ok,deepseek,False
evoscientist,da-19-4,0.3500,ok,deepseek,False
evoscientist,da-19-6,0.8700,ok,deepseek,True
evoscientist,da-20-1,0.3100,ok,deepseek,False
evoscientist,da-20-3,0.5400,ok,deepseek,False
evoscientist,da-20-4,0.1500,ok,deepseek,False
evoscientist,da-24-3,0.2000,ok,deepseek,False
evoscientist,da-25-1,0.7000,ok,deepseek,True
evoscientist,da-26-2,0.3500,ok,deepseek,False
evoscientist,da-26-4,0.5400,ok,deepseek,False
